frame,vx_sp_ma,vy_sp_ma,vz_sp_ma,vx_sp_lp,vy_sp_lp,vz_sp_lp,vx_sift_ma,vy_sift_ma,vz_sift_ma,vx_sift_lp,vy_sift_lp,vz_sift_lp
52,0.043097755832038585,-0.39334994454658434,0.1065881438902553,0.042833639981303795,-0.39155917304489585,0.10830603339376535,0.11719960131360503,0.22053849400303022,0.100542852936083,0.18519852290204214,0.11494102217426369,0.11002679430328044
53,0.039477345484886905,-0.3934232293582482,0.1303467818913845,0.0413941474868935,-0.3891811573850264,0.11944677707380716,0.1858014107123602,0.10882022585131682,0.09454392178802783,0.10057539545992822,0.0894026414965046,0.11304294932340044
54,0.036822990303625826,-0.3939683747871503,0.15040350443296274,0.04159283820694446,-0.38844396569156875,0.12835937201784062,0.14087377034237786,-0.1128156143940905,0.10871914862457284,-0.0276654838929752,-0.2904548250264378,0.11460574107994063
55,0.03949276442449138,-0.3907958682427038,0.15136040229328224,0.046747460154635934,-0.3838599609005425,0.11308733105248228,0.29268339441008645,-0.39116192996390486,0.12709770596464234,0.11920595106328714,-0.4283663919423639,0.13298975907361466
56,0.04434895586100231,-0.38561722515143204,0.13061010317923608,0.049416645578517125,-0.3769340504580037,0.09422139644111603,0.1494591701262593,-0.13589075957182414,0.10778563540841155,0.09499356533030434,-0.0023337538852168938,0.1035262901013889
57,0.04614237969802507,-0.3799024951300382,0.10631843020807817,0.04944529222475655,-0.3738337562987212,0.07658372647198093,0.1251294477376597,-0.10284216452605634,0.10996745986173259,0.19167436437751634,0.04191104651676851,0.10411531453886383
58,0.04914751176859762,-0.37601269887526395,0.08118987523885234,0.051034295105647116,-0.37795251646389577,0.06116898107916527,0.12942934580007928,-0.04032561106778258,0.10882239869426483,0.15372296552520578,0.11562450408923639,0.10847705456805024
59,0.05351632263705349,-0.37214528176483397,0.05439761805659491,0.053263627925439004,-0.3762096514671328,0.04422797516696671,-0.009458897960746171,-0.05602790234908377,0.11378316634701909,0.008415009603935791,0.10835711020099553,0.11196644659139936
60,0.057921745021196513,-0.3703487951599106,0.031829517313947196,0.0559057291800019,-0.37438645887592326,0.036588989452661466,0.05709053814029062,-0.04362663403506075,0.08708152783800749,0.052317795362894645,0.10149728755752233,0.07721237724127936
61,0.060853442445659996,-0.3720604737320383,0.003754870381905351,0.05730647995568006,-0.379004556885265,0.022768636216065462,0.1454554138345921,0.19732490311224207,0.08141898868494821,0.05743926200142005,0.056553043828600255,0.07801372859996077
62,0.059680694524669946,-0.3758159672717327,-0.007412307718579786,0.05767652646423833,-0.38156612481107166,0.012980693070382965,-0.037113867673495816,0.2849401233297422,0.05449617054343007,-0.06830724633251976,-0.028098788553833222,0.06602420369150534
63,0.05828050530488115,-0.37783448441981254,-0.01368646773734932,0.056199633718494735,-0.3779249055937387,0.0053522620291592314,0.002298646689792984,0.07417865466977132,0.05415742553684907,0.00016052752226312222,0.022814272701648396,0.04947960278648804
64,0.05915673104564956,-0.3827614027808975,-0.018287057181318962,0.0560983987738144,-0.38152412611282815,-0.0009524062791420188,-0.10023452716054128,0.007926520380544902,0.03436287042292928,-0.027738509259384637,-0.030723520218656233,0.03316558752745544
65,0.06032108907337036,-0.38481350311992796,-0.02195578275564034,0.05798688158370252,-0.386977752789824,-0.005996140925783019,-0.051387291513499474,-0.019364385003683402,0.013988182491732557,0.046578796521543536,0.019309583162976943,0.023192709855248114
66,0.06054371022716276,-0.38864896926872194,-0.022187984706198646,0.0591373667231927,-0.3887994931361869,-0.009829205167773556,0.06483594831715318,-0.0019037995480032496,-0.0006763690376032376,0.0854122101639197,0.05574999309794019,0.023208598680087553
67,0.06054362083217333,-0.394032537611575,-0.024753681544113445,0.06060459506521963,-0.39199532789116076,-0.01024873038821147,0.03930191506884507,-0.009791747791511445,0.013709547700355101,0.07816790926325042,0.048368466334166596,0.02634638234537159
68,0.06183366831323819,-0.39457618017627016,-0.014336890299058238,0.06287163913734507,-0.39385275168802836,-0.0001180319135555951,-0.05470624185848942,-0.15985665929477003,-0.007868849984966984,-0.05349206657656362,-0.19604088925464636,0.007111175923783627
69,0.06145382388873194,-0.39597166890060836,-0.004392387715782853,0.061596871615261596,-0.3953983648673558,0.008593662183271662,-0.020823723180488387,-0.06967960267052745,-0.02409337301143266,-0.10961678304570527,-0.10392605574649094,-0.013412170686488315
70,0.0643185369515638,-0.40275973161078726,0.004732343730133324,0.06334650812727796,-0.39849398543301656,0.014617261343752838,-0.049251947174912374,-0.058441787158528956,-0.029795033223099315,-0.07268661544047886,-0.0221145993356799,-0.022051821012240208
71,0.06441107252981665,-0.40396874731312266,0.015386554149098326,0.06194544811039497,-0.39967201196752,0.02137548775908387,0.0077831797250867895,0.05929421231998189,-0.032219185288022555,-0.006167045969579406,0.09816378142139634,-0.027453364402419696
72,0.06568990493015293,-0.4067356889955726,0.024897388648729032,0.06445488641343779,-0.4053697798290075,0.025181342604280677,-0.11981965953029287,0.06275367541211391,-0.03792084549968921,-0.11480800780414381,0.12726267280400383,-0.03328477598498531
73,0.0646947753283073,-0.40942660028038436,0.0356247552422724,0.06291858914439702,-0.4072803905662702,0.030131094887238127,-0.35096515358427677,0.22215973863085894,-0.043833018628199424,-0.3673009249722077,0.3652809533170047,-0.030250432372013487
74,0.06275668279622135,-0.4140095313220414,0.044340892018585175,0.06091624345726274,-0.4131961492935471,0.03392210114263576,-0.2783426306381947,0.07146523607956363,-0.05741730041215359,-0.18233106672113658,0.08502093093760482,-0.03543883699384508
75,0.059941748146812295,-0.417264297276978,0.04565244861988132,0.059180049341806894,-0.4153700811468487,0.037054812552936786,-0.3109191388615761,0.04747409201035951,-0.05445014158366351,-0.30749835887680727,-0.2003065192687815,-0.03816297718770359
76,0.05951057171589983,-0.4210294704347035,0.04653033713753278,0.058039952775553585,-0.4178834708552278,0.03956098168117761,-0.24316493592916036,0.07541275526368453,-0.04339407026831351,-0.21796593278051807,-0.06822443120314405,-0.03415299333418811
77,0.05731036541121829,-0.4220971386665502,0.04808376573874183,0.057420684228957394,-0.4179768057478996,0.04156591698377027,-0.25876161383637225,0.002161490172456672,-0.06390441788109665,-0.18120128429842577,-0.09610507082872136,-0.06735896578829642
78,0.05791010302279546,-0.4258386158393784,0.04818058470214444,0.05804442164794654,-0.42049633626138583,0.043069958819861476,-0.46337146910555,-0.11730312884985221,-0.03214248246083164,-0.37943257843278577,-0.12827906240426934,-0.019232370634893643
79,0.054734417425011235,-0.42598395024886015,0.049057263213630846,0.05688810540658115,-0.4222327074373746,0.04376426936898372,-0.48336704008014447,-0.17833768468327318,-0.014318063429861356,-0.4414142331391413,-0.13933998042331813,-0.0017537943276060858
